Date,Commits,Forks,Watchers,Stars,Size
2011-10-14,2,0,0,0,0
2011-10-15,2,0,0,0,0
2011-10-16,2,0,0,0,0
2011-10-17,2,0,0,0,0
2011-10-18,2,0,0,0,0
2011-10-19,2,0,0,0,0
2011-10-20,4,0,0,0,0
2011-10-21,5,0,0,0,0
2011-10-22,5,0,0,0,0
2011-10-23,5,0,0,0,0
2011-10-24,5,0,0,0,0
2011-10-25,6,0,0,0,0
2011-10-26,7,0,0,0,0
2011-10-27,10,0,0,0,0
2011-10-28,11,0,0,0,0
2011-10-29,11,0,0,0,0
2011-10-30,11,0,0,0,0
2011-10-31,11,0,0,0,0
2011-11-01,11,0,0,0,0
2011-11-02,11,0,0,0,0
2011-11-03,12,0,0,0,0
2011-11-04,12,0,0,0,0
2011-11-05,12,0,0,0,0
2011-11-06,12,0,0,0,0
2011-11-07,16,0,0,0,0
2011-11-08,20,0,0,0,0
2011-11-09,22,0,0,0,0
2011-11-10,23,0,0,0,0
2011-11-11,27,0,0,0,0
2011-11-12,31,0,0,0,0
2011-11-13,31,0,0,0,0
2011-11-14,35,0,0,0,0
2011-11-15,42,0,0,0,0
2011-11-16,42,0,0,0,0
2011-11-17,44,0,0,0,0
2011-11-18,50,0,0,0,0
2011-11-19,51,0,0,0,0
2011-11-20,51,0,0,0,0
2011-11-21,54,0,0,0,0
2011-11-22,55,0,0,0,0
2011-11-23,60,0,0,0,0
2011-11-24,61,0,0,0,0
2011-11-25,67,0,0,0,0
2011-11-26,74,0,0,0,0
2011-11-27,74,0,0,0,0
2011-11-28,76,0,0,0,0
2011-11-29,80,0,0,0,0
2011-11-30,87,0,0,0,0
2011-12-01,88,0,0,0,0
2011-12-02,88,0,0,0,0
2011-12-03,99,0,0,0,0
2011-12-04,103,0,0,0,0
2011-12-05,114,0,0,0,0
2011-12-06,116,0,0,0,0
2011-12-07,121,0,0,0,0
2011-12-08,121,0,0,0,0
2011-12-09,124,0,0,0,0
2011-12-10,124,0,0,0,0
2011-12-11,124,0,0,0,0
2011-12-12,128,0,0,0,0
2011-12-13,141,0,0,0,0
2011-12-14,150,0,0,0,0
2011-12-15,156,0,0,0,0
2011-12-16,157,0,0,0,0
2011-12-17,165,0,0,0,0
2011-12-18,169,0,0,0,0
2011-12-19,170,0,0,0,0
2011-12-20,171,0,0,0,0
2011-12-21,173,0,0,0,0
2011-12-22,173,0,0,0,0
2011-12-23,173,0,0,0,0
2011-12-24,173,0,0,0,0
2011-12-25,173,0,0,0,0
2011-12-26,173,0,0,0,0
2011-12-27,175,0,0,0,0
2011-12-28,177,0,0,0,0
2011-12-29,178,0,0,0,0
2011-12-30,184,0,0,0,0
2011-12-31,193,0,0,0,0
2012-01-01,204,0,0,0,0
2012-01-02,204,0,0,0,0
2012-01-03,205,0,0,0,0
2012-01-04,209,0,0,0,0
2012-01-05,209,0,0,0,0
2012-01-06,211,0,0,0,0
2012-01-07,218,0,0,0,0
2012-01-08,218,0,0,0,0
2012-01-09,222,0,0,0,0
2012-01-10,222,0,0,0,0
2012-01-11,222,0,0,0,0
2012-01-12,222,0,0,0,0
2012-01-13,223,0,0,0,0
2012-01-14,223,0,0,0,0
2012-01-15,223,0,0,0,0
2012-01-16,223,0,0,0,0
2012-01-17,223,0,0,0,0
2012-01-18,245,0,0,0,0
2012-01-19,263,0,0,0,0
2012-01-20,272,0,0,0,0
2012-01-21,276,0,0,0,0
2012-01-22,276,0,0,0,0
2012-01-23,281,0,0,0,0
2012-01-24,282,0,0,0,0
2012-01-25,285,0,0,0,0
2012-01-26,287,0,0,0,0
2012-01-27,291,0,0,0,0
2012-01-28,291,0,0,0,0
2012-01-29,291,0,0,0,0
2012-01-30,293,0,0,0,0
2012-01-31,302,0,0,0,0
2012-02-01,305,0,0,0,0
2012-02-02,310,0,0,0,0
2012-02-03,312,0,0,0,0
2012-02-04,312,0,0,0,0
2012-02-05,317,0,0,0,0
2012-02-06,319,0,0,0,0
2012-02-07,321,0,0,0,0
2012-02-08,330,0,0,0,0
2012-02-09,331,0,0,0,0
2012-02-10,331,0,0,0,0
2012-02-11,331,0,0,0,0
2012-02-12,331,0,0,0,0
2012-02-13,333,0,0,0,0
2012-02-14,335,0,0,0,0
2012-02-15,336,0,0,0,0
2012-02-16,342,0,0,0,0
2012-02-17,343,0,0,0,0
2012-02-18,343,0,0,0,0
2012-02-19,343,0,0,0,0
2012-02-20,343,0,0,0,0
2012-02-21,346,0,0,0,0
2012-02-22,346,0,0,0,0
2012-02-23,346,0,0,0,0
2012-02-24,346,0,0,0,0
2012-02-25,346,0,0,0,0
2012-02-26,346,0,0,0,0
2012-02-27,346,0,0,0,0
2012-02-28,346,0,0,0,0
2012-02-29,346,0,0,0,0
2012-03-01,346,0,0,0,0
2012-03-02,346,0,0,0,0
2012-03-03,346,0,0,0,0
2012-03-04,346,0,0,0,0
2012-03-05,346,0,0,0,0
2012-03-06,346,0,0,0,0
2012-03-07,360,0,0,0,0
2012-03-08,360,0,0,0,0
2012-03-09,360,0,0,0,0
2012-03-10,360,0,0,0,0
2012-03-11,362,0,0,0,0
2012-03-12,366,0,0,0,0
2012-03-13,370,0,0,0,0
2012-03-14,375,0,0,0,0
2012-03-15,377,0,0,0,0
2012-03-16,377,0,0,0,0
2012-03-17,378,0,0,0,0
2012-03-18,380,0,0,0,0
2012-03-19,393,0,0,0,0
2012-03-20,401,0,0,0,0
2012-03-21,410,0,0,0,0
2012-03-22,414,0,0,0,0
2012-03-23,415,0,0,0,0
2012-03-24,415,0,0,0,0
2012-03-25,416,0,0,0,0
2012-03-26,419,0,0,0,0
2012-03-27,425,0,0,0,0
2012-03-28,429,0,0,0,0
2012-03-29,429,0,0,0,0
2012-03-30,434,0,0,0,0
2012-03-31,434,0,0,0,0
2012-04-01,434,0,0,0,0
2012-04-02,434,0,0,0,0
2012-04-03,434,0,0,0,0
2012-04-04,443,0,0,0,0
2012-04-05,450,0,0,0,0
2012-04-06,456,0,0,0,0
2012-04-07,476,0,0,0,0
2012-04-08,479,0,0,0,0
2012-04-09,487,0,0,0,0
2012-04-10,504,0,0,0,0
2012-04-11,510,0,0,0,0
2012-04-12,518,0,0,0,0
2012-04-13,524,0,0,0,0
2012-04-14,537,0,0,0,0
2012-04-15,542,0,0,0,0
2012-04-16,544,0,0,0,0
2012-04-17,549,0,0,0,0
2012-04-18,554,0,0,0,0
2012-04-19,562,0,0,0,0
2012-04-20,563,0,0,0,0
2012-04-21,570,0,0,0,0
2012-04-22,572,0,0,0,0
2012-04-23,592,0,0,0,0
2012-04-24,602,0,0,0,0
2012-04-25,609,0,0,0,0
2012-04-26,620,0,0,0,0
2012-04-27,651,0,0,0,0
2012-04-28,655,0,0,0,0
2012-04-29,670,0,0,0,0
2012-04-30,687,0,0,0,0
2012-05-01,697,0,0,0,0
2012-05-02,703,0,0,0,0
2012-05-03,716,0,0,0,0
2012-05-04,720,0,0,0,0
2012-05-05,735,0,0,0,0
2012-05-06,735,0,0,0,0
2012-05-07,738,0,0,0,0
2012-05-08,766,0,0,0,0
2012-05-09,774,0,0,0,0
2012-05-10,793,0,0,0,0
2012-05-11,802,0,0,0,0
2012-05-12,806,0,0,0,0
2012-05-13,826,0,0,0,0
2012-05-14,835,0,0,0,0
2012-05-15,865,0,0,0,0
2012-05-16,893,0,0,0,0
2012-05-17,898,0,0,0,0
2012-05-18,918,0,0,0,0
2012-05-19,943,0,0,0,0
2012-05-20,957,0,0,0,0
2012-05-21,969,0,0,0,0
2012-05-22,988,0,0,0,0
2012-05-23,997,0,0,0,0
2012-05-24,1001,0,0,0,0
2012-05-25,1001,0,0,0,0
2012-05-26,1015,0,0,0,0
2012-05-27,1024,0,0,0,0
2012-05-28,1051,0,0,0,0
2012-05-29,1057,0,0,0,0
2012-05-30,1073,0,0,0,0
2012-05-31,1099,0,0,0,0
2012-06-01,1153,0,0,0,0
2012-06-02,1192,0,0,0,0
2012-06-03,1198,0,0,0,0
2012-06-04,1235,0,0,0,0
2012-06-05,1264,0,0,0,0
2012-06-06,1268,0,0,0,0
2012-06-07,1278,0,0,0,0
2012-06-08,1290,0,0,0,0
2012-06-09,1310,0,0,0,0
2012-06-10,1346,0,0,0,0
2012-06-11,1359,0,0,0,0
2012-06-12,1366,0,0,0,0
2012-06-13,1383,0,0,0,0
2012-06-14,1396,0,0,0,0
2012-06-15,1403,0,0,0,0
2012-06-16,1417,0,0,0,0
2012-06-17,1418,0,0,0,0
2012-06-18,1467,0,0,0,0
2012-06-19,1528,0,0,0,0
2012-06-20,1560,0,0,0,0
2012-06-21,1579,0,0,0,0
2012-06-22,1602,0,0,0,0
2012-06-23,1608,0,0,0,0
2012-06-24,1644,0,0,0,0
2012-06-25,1664,0,0,0,0
2012-06-26,1676,0,0,0,0
2012-06-27,1681,0,0,0,0
2012-06-28,1690,0,0,0,0
2012-06-29,1705,0,0,0,0
2012-06-30,1720,0,0,0,0
2012-07-01,1732,0,0,0,0
2012-07-02,1736,0,0,0,0
2012-07-03,1738,0,0,0,0
2012-07-04,1741,0,0,0,0
2012-07-05,1742,0,0,0,0
2012-07-06,1753,0,0,0,0
2012-07-07,1755,0,0,0,0
2012-07-08,1760,0,0,0,0
2012-07-09,1767,0,0,0,0
2012-07-10,1783,0,0,0,0
2012-07-11,1793,0,0,0,0
2012-07-12,1803,0,0,0,0
2012-07-13,1815,0,0,0,0
2012-07-14,1840,0,0,0,0
2012-07-15,1850,0,0,0,0
2012-07-16,1875,0,0,0,0
2012-07-17,1888,0,0,0,0
2012-07-18,1896,0,0,0,0
2012-07-19,1909,0,0,0,0
2012-07-20,1916,0,0,0,0
2012-07-21,1916,0,0,0,0
2012-07-22,1916,0,0,0,0
2012-07-23,1919,0,0,0,0
2012-07-24,1922,0,0,0,0
2012-07-25,1931,0,0,0,0
2012-07-26,1941,0,0,0,0
2012-07-27,1946,0,0,0,0
2012-07-28,1947,0,0,0,0
2012-07-29,1949,0,0,0,0
2012-07-30,1951,0,0,0,0
2012-07-31,1954,0,0,0,0
2012-08-01,1962,0,0,0,0
2012-08-02,1967,0,0,0,0
2012-08-03,1984,0,0,0,0
2012-08-04,1984,0,0,0,0
2012-08-05,1990,0,0,0,0
2012-08-06,2005,0,0,0,0
2012-08-07,2009,0,0,0,0
2012-08-08,2016,0,0,0,0
2012-08-09,2018,0,0,0,0
2012-08-10,2023,0,0,0,0
2012-08-11,2024,0,0,0,0
2012-08-12,2024,0,0,0,0
2012-08-13,2032,0,0,0,0
2012-08-14,2062,0,0,0,0
2012-08-15,2073,0,0,0,0
2012-08-16,2079,0,0,0,0
2012-08-17,2080,0,0,0,0
2012-08-18,2088,0,0,0,0
2012-08-19,2090,0,0,0,0
2012-08-20,2112,0,0,0,0
2012-08-21,2114,0,0,0,0
2012-08-22,2121,0,0,0,0
2012-08-23,2129,0,0,0,0
2012-08-24,2135,0,0,0,0
2012-08-25,2139,0,0,0,0
2012-08-26,2140,0,0,0,0
2012-08-27,2147,0,0,0,0
2012-08-28,2154,0,0,0,0
2012-08-29,2167,0,0,0,0
2012-08-30,2186,0,0,0,0
2012-08-31,2192,0,0,0,0
2012-09-01,2196,0,0,0,0
2012-09-02,2199,0,0,0,0
2012-09-03,2225,0,0,0,0
2012-09-04,2230,0,0,0,0
2012-09-05,2244,0,0,0,0
2012-09-06,2249,0,0,0,0
2012-09-07,2270,0,0,0,0
2012-09-08,2281,0,0,0,0
2012-09-09,2281,0,0,0,0
2012-09-10,2286,0,0,0,0
2012-09-11,2289,0,0,0,0
2012-09-12,2292,0,0,0,0
2012-09-13,2313,0,0,0,0
2012-09-14,2328,0,0,0,0
2012-09-15,2332,0,0,0,0
2012-09-16,2334,0,0,0,0
2012-09-17,2349,0,0,0,0
2012-09-18,2355,0,0,0,0
2012-09-19,2355,0,0,0,0
2012-09-20,2359,0,0,0,0
2012-09-21,2360,0,0,0,0
2012-09-22,2360,0,0,0,0
2012-09-23,2360,0,0,0,0
2012-09-24,2369,0,0,0,0
2012-09-25,2381,0,0,0,0
2012-09-26,2413,0,0,0,0
2012-09-27,2428,0,0,0,0
2012-09-28,2442,0,0,0,0
2012-09-29,2465,0,0,0,0
2012-09-30,2470,0,0,0,0
2012-10-01,2492,0,0,0,0
2012-10-02,2510,0,0,0,0
2012-10-03,2515,0,0,0,0
2012-10-04,2525,0,0,0,0
2012-10-05,2570,0,0,0,0
2012-10-06,2579,0,0,0,0
2012-10-07,2585,0,0,0,0
2012-10-08,2607,0,0,0,0
2012-10-09,2621,0,0,0,0
2012-10-10,2640,0,0,0,0
2012-10-11,2670,0,0,0,0
2012-10-12,2691,0,0,0,0
2012-10-13,2702,0,0,0,0
2012-10-14,2707,0,0,0,0
2012-10-15,2754,0,0,0,0
2012-10-16,2798,0,0,0,0
2012-10-17,2810,0,0,0,0
2012-10-18,2830,0,0,0,0
2012-10-19,2849,0,0,0,0
2012-10-20,2869,0,0,0,0
2012-10-21,2875,0,0,0,0
2012-10-22,2896,0,0,0,0
2012-10-23,2913,0,0,0,0
2012-10-24,2941,0,0,0,0
2012-10-25,2952,0,0,0,0
2012-10-26,2970,0,0,0,0
2012-10-27,2980,0,0,0,0
2012-10-28,2983,0,0,0,0
2012-10-29,3002,0,0,0,0
2012-10-30,3008,0,0,0,0
2012-10-31,3024,0,0,0,0
2012-11-01,3053,0,0,0,0
2012-11-02,3062,0,0,0,0
2012-11-03,3078,0,0,0,0
2012-11-04,3087,0,0,0,0
2012-11-05,3119,0,0,0,0
2012-11-06,3154,0,0,0,0
2012-11-07,3159,0,0,0,0
2012-11-08,3171,0,0,0,0
2012-11-09,3192,0,0,0,0
2012-11-10,3198,0,0,0,0
2012-11-11,3207,0,0,0,0
2012-11-12,3224,0,0,0,0
2012-11-13,3243,0,0,0,0
2012-11-14,3252,0,0,0,0
2012-11-15,3266,0,0,0,0
2012-11-16,3275,0,0,0,0
2012-11-17,3277,0,0,0,0
2012-11-18,3286,0,0,0,0
2012-11-19,3305,0,0,0,0
2012-11-20,3330,0,0,0,0
2012-11-21,3344,0,0,0,0
2012-11-22,3356,0,0,0,0
2012-11-23,3363,0,0,0,0
2012-11-24,3387,0,0,0,0
2012-11-25,3389,0,0,0,0
2012-11-26,3406,0,0,0,0
2012-11-27,3412,0,0,0,0
2012-11-28,3417,0,0,0,0
2012-11-29,3440,0,0,0,0
2012-11-30,3456,0,0,0,0
2012-12-01,3461,0,0,0,0
2012-12-02,3473,0,0,0,0
2012-12-03,3495,0,0,0,0
2012-12-04,3532,0,0,0,0
2012-12-05,3542,0,0,0,0
2012-12-06,3571,0,0,0,0
2012-12-07,3590,0,0,0,0
2012-12-08,3596,0,0,0,0
2012-12-09,3610,0,0,0,0
2012-12-10,3620,0,0,0,0
2012-12-11,3642,0,0,0,0
2012-12-12,3656,0,0,0,0
2012-12-13,3683,0,0,0,0
2012-12-14,3697,0,0,0,0
2012-12-15,3709,0,0,0,0
2012-12-16,3711,0,0,0,0
2012-12-17,3718,0,0,0,0
2012-12-18,3750,0,0,0,0
2012-12-19,3765,0,0,0,0
2012-12-20,3780,0,0,0,0
2012-12-21,3790,0,0,0,0
2012-12-22,3795,0,0,0,0
2012-12-23,3802,0,0,0,0
2012-12-24,3813,0,0,0,0
2012-12-25,3820,0,0,0,0
2012-12-26,3834,0,0,0,0
2012-12-27,3841,0,0,0,0
2012-12-28,3847,0,0,0,0
2012-12-29,3858,0,0,0,0
2012-12-30,3862,0,0,0,0
2012-12-31,3877,0,0,0,0
2013-01-01,3884,0,0,0,0
2013-01-02,3896,0,0,0,0
2013-01-03,3925,0,0,0,0
2013-01-04,3957,0,0,0,0
2013-01-05,3968,0,0,0,0
2013-01-06,3977,0,0,0,0
2013-01-07,3994,0,0,0,0
2013-01-08,4016,0,0,0,0
2013-01-09,4045,0,0,0,0
2013-01-10,4068,0,0,0,0
2013-01-11,4075,0,0,0,0
2013-01-12,4104,0,0,0,0
2013-01-13,4123,0,0,0,0
2013-01-14,4136,0,0,0,0
2013-01-15,4160,0,0,0,0
2013-01-16,4190,0,0,0,0
2013-01-17,4201,0,0,0,0
2013-01-18,4213,0,0,0,0
2013-01-19,4223,0,0,0,0
2013-01-20,4232,0,0,0,0
2013-01-21,4244,0,0,0,0
2013-01-22,4265,0,0,0,0
2013-01-23,4271,0,0,0,0
2013-01-24,4290,0,0,0,0
2013-01-25,4304,0,0,0,0
2013-01-26,4313,0,0,0,0
2013-01-27,4323,0,0,0,0
2013-01-28,4341,0,0,0,0
2013-01-29,4354,0,0,0,0
2013-01-30,4368,0,0,0,0
2013-01-31,4379,0,0,0,0
2013-02-01,4390,0,0,0,0
2013-02-02,4406,0,0,0,0
2013-02-03,4415,0,0,0,0
2013-02-04,4423,0,0,0,0
2013-02-05,4431,0,0,0,0
2013-02-06,4442,0,0,0,0
2013-02-07,4447,0,0,0,0
2013-02-08,4461,0,0,0,0
2013-02-09,4469,0,0,0,0
2013-02-10,4488,0,0,0,0
2013-02-11,4502,0,0,0,0
2013-02-12,4519,0,0,0,0
2013-02-13,4541,1,0,0,0
2013-02-14,4544,1,0,0,0
2013-02-15,4556,1,0,0,0
2013-02-16,4557,1,0,0,0
2013-02-17,4557,1,0,0,0
2013-02-18,4575,1,0,0,0
2013-02-19,4583,1,0,0,0
2013-02-20,4593,1,0,0,0
2013-02-21,4612,1,0,0,0
2013-02-22,4627,1,0,0,0
2013-02-23,4629,1,0,0,0
2013-02-24,4638,1,0,0,0
2013-02-25,4641,1,0,0,0
2013-02-26,4654,1,0,0,0
2013-02-27,4661,1,0,0,0
2013-02-28,4675,1,0,0,0
2013-03-01,4704,1,0,0,0
2013-03-02,4711,1,0,0,0
2013-03-03,4728,1,0,0,0
2013-03-04,4751,1,0,0,0
2013-03-05,4773,1,0,0,0
2013-03-06,4805,1,0,0,0
2013-03-07,4851,1,0,0,0
2013-03-08,4883,1,0,0,0
2013-03-09,4899,1,0,0,0
2013-03-10,4907,1,0,0,0
2013-03-11,4944,1,0,0,0
2013-03-12,4985,1,0,0,0
2013-03-13,4993,1,0,0,0
2013-03-14,5007,1,0,0,0
2013-03-15,5021,1,0,0,0
2013-03-16,5033,1,0,0,0
2013-03-17,5038,1,0,0,0
2013-03-18,5043,1,0,0,0
2013-03-19,5054,1,0,0,0
2013-03-20,5083,1,0,0,0
2013-03-21,5096,1,0,0,0
2013-03-22,5103,1,0,0,0
2013-03-23,5105,1,0,0,0
2013-03-24,5110,1,0,0,0
2013-03-25,5114,1,0,0,0
2013-03-26,5118,1,0,0,0
2013-03-27,5138,1,0,0,0
2013-03-28,5152,1,0,0,0
2013-03-29,5176,1,0,0,0
2013-03-30,5189,1,0,0,0
2013-03-31,5195,1,0,0,0
2013-04-01,5203,1,0,0,0
2013-04-02,5216,1,0,0,0
2013-04-03,5221,1,0,0,0
2013-04-04,5228,1,0,0,0
2013-04-05,5236,1,0,0,0
2013-04-06,5241,1,0,0,0
2013-04-07,5241,1,0,0,0
2013-04-08,5267,1,0,0,0
2013-04-09,5280,1,0,0,0
2013-04-10,5289,1,0,0,0
2013-04-11,5309,1,0,0,0
2013-04-12,5312,1,0,0,0
2013-04-13,5320,1,0,0,0
2013-04-14,5334,1,0,0,0
2013-04-15,5346,1,0,0,0
2013-04-16,5356,1,0,0,0
2013-04-17,5372,1,0,0,0
2013-04-18,5382,1,0,0,0
2013-04-19,5399,1,0,0,0
2013-04-20,5402,1,0,0,0
2013-04-21,5411,1,0,0,0
2013-04-22,5433,1,0,0,0
2013-04-23,5475,1,0,0,0
2013-04-24,5485,1,0,0,0
2013-04-25,5504,1,0,0,0
2013-04-26,5532,1,0,0,0
2013-04-27,5550,1,0,0,0
2013-04-28,5558,1,0,0,0
2013-04-29,5563,1,0,0,0
2013-04-30,5569,1,0,0,0
2013-05-01,5576,1,0,0,0
2013-05-02,5584,1,0,0,0
2013-05-03,5604,1,0,0,0
2013-05-04,5618,1,0,0,0
2013-05-05,5619,1,0,0,0
2013-05-06,5627,1,0,0,0
2013-05-07,5652,1,0,0,0
2013-05-08,5663,1,0,0,0
2013-05-09,5666,1,0,0,0
2013-05-10,5669,1,0,0,0
2013-05-11,5677,1,0,0,0
2013-05-12,5701,1,0,0,0
2013-05-13,5723,1,0,0,0
2013-05-14,5751,1,0,0,0
2013-05-15,5773,1,0,0,0
2013-05-16,5792,1,0,0,0
2013-05-17,5816,1,0,0,0
2013-05-18,5816,1,0,0,0
2013-05-19,5816,1,0,0,0
2013-05-20,5819,1,0,0,0
2013-05-21,5823,1,0,0,0
2013-05-22,5833,1,0,0,0
2013-05-23,5845,1,0,0,0
2013-05-24,5854,1,0,0,0
2013-05-25,5859,1,0,0,0
2013-05-26,5872,1,0,0,0
2013-05-27,5970,1,0,0,0
2013-05-28,5976,1,0,0,0
2013-05-29,5985,1,0,0,0
2013-05-30,6022,1,0,0,0
2013-05-31,6025,1,0,0,0
2013-06-01,6025,1,0,0,0
2013-06-02,6043,1,0,0,0
2013-06-03,6045,1,0,0,0
2013-06-04,6048,1,0,0,0
2013-06-05,6070,1,0,0,0
2013-06-06,6070,1,0,0,0
2013-06-07,6111,1,0,0,0
2013-06-08,6112,1,0,0,0
2013-06-09,6116,1,0,0,0
2013-06-10,6120,1,0,0,0
2013-06-11,6150,1,0,0,0
2013-06-12,6165,1,0,0,0
2013-06-13,6176,1,0,0,0
2013-06-14,6183,1,0,0,0
2013-06-15,6195,1,0,0,0
2013-06-16,6207,1,0,0,0
2013-06-17,6223,1,0,0,0
2013-06-18,6231,1,0,0,0
2013-06-19,6251,1,0,0,0
2013-06-20,6267,1,0,0,0
2013-06-21,6275,1,0,0,0
2013-06-22,6277,1,0,0,0
2013-06-23,6293,1,0,0,0
2013-06-24,6305,1,0,0,0
2013-06-25,6312,1,0,0,0
2013-06-26,6330,3,0,1,0
2013-06-27,6347,3,0,1,0
2013-06-28,6373,3,0,1,0
2013-06-29,6386,3,0,2,0
2013-06-30,6386,3,0,2,0
2013-07-01,6431,3,0,2,0
2013-07-02,6438,3,0,2,0
2013-07-03,6487,3,0,2,0
2013-07-04,6502,3,0,2,0
2013-07-05,6511,3,0,2,0
2013-07-06,6515,3,0,2,0
2013-07-07,6522,3,0,2,0
2013-07-08,6534,3,0,2,0
2013-07-09,6540,3,0,2,0
2013-07-10,6610,3,0,2,0
2013-07-11,6631,3,0,2,0
2013-07-12,6644,3,0,2,0
2013-07-13,6648,3,0,2,0
2013-07-14,6660,3,0,2,0
2013-07-15,6709,3,0,2,0
2013-07-16,6712,3,0,2,0
2013-07-17,6716,3,0,2,0
2013-07-18,6717,3,0,2,0
2013-07-19,6721,3,0,2,0
2013-07-20,6721,3,0,2,0
2013-07-21,6779,3,0,2,0
2013-07-22,6802,3,0,2,0
2013-07-23,6829,3,0,2,0
2013-07-24,6850,3,0,2,0
2013-07-25,6883,3,0,2,0
2013-07-26,6884,3,0,2,0
2013-07-27,6902,4,0,2,0
2013-07-28,6922,4,0,2,0
2013-07-29,6977,4,0,2,0
2013-07-30,6999,4,0,2,0
2013-07-31,7019,4,0,2,0
2013-08-01,7039,4,0,2,0
2013-08-02,7039,4,0,2,0
2013-08-03,7039,4,0,2,0
2013-08-04,7039,4,0,2,0
2013-08-05,7043,4,0,2,0
2013-08-06,7054,4,0,2,0
2013-08-07,7111,4,0,2,0
2013-08-08,7119,4,0,2,0
2013-08-09,7120,4,0,2,0
2013-08-10,7148,4,0,2,0
2013-08-11,7149,4,0,2,0
2013-08-12,7158,4,0,2,0
2013-08-13,7158,5,0,2,0
2013-08-14,7208,5,0,2,0
2013-08-15,7250,5,0,2,0
2013-08-16,7262,5,0,2,0
2013-08-17,7269,5,0,2,0
2013-08-18,7330,5,0,2,0
2013-08-19,7356,5,0,2,0
2013-08-20,7365,5,0,2,0
2013-08-21,7374,5,0,2,0
2013-08-22,7388,5,0,2,0
2013-08-23,7401,5,0,2,0
2013-08-24,7414,5,0,2,0
2013-08-25,7439,5,0,2,0
2013-08-26,7445,5,0,2,0
2013-08-27,7456,5,0,2,0
2013-08-28,7457,5,0,2,0
2013-08-29,7457,5,0,2,0
2013-08-30,7462,5,0,2,0
2013-08-31,7468,5,0,2,0
2013-09-01,7510,5,0,2,0
2013-09-02,7511,5,0,2,0
2013-09-03,7516,5,0,2,0
2013-09-04,7524,5,0,2,0
2013-09-05,7542,5,0,2,0
2013-09-06,7562,5,0,2,0
2013-09-07,7604,5,0,2,0
2013-09-08,7611,5,0,2,0
2013-09-09,7629,5,0,2,0
2013-09-10,7639,5,0,2,0
2013-09-11,7662,5,0,2,0
2013-09-12,7697,5,0,2,0
